brand_key,campaign_key,group_key,year,month,impressions,reach,clicks,sales,family,budget,cost,contribution,_merge,matched
anasac,cyperkill,Retail Display,2025,11,114730.0,0.0,149.0,0.0,,,,,left_only,False
anasac,cyperkill,Retail Display,2025,12,124270.0,0.0,138.0,0.0,,,,,left_only,False
anasac,nuevos zectos,Retail Display,2024,10,478519.0,0.0,391.0,0.0,,,,,left_only,False
anasac,q5skwlorg,CRM,2025,11,0.0,53942.0,0.0,3206931.0,,,,,left_only,False
anasac,repelentes,Google,2025,12,28771.0,0.0,1086.0,55550.0,,,,,left_only,False
anasac fellini goofy,felliny goofy,Retail Display,2026,5,307785.0,0.0,85.0,0.0,,,,,left_only,False
anasac fellini goofy,tactico felliny goofy febrero 2026,Retail Display,2026,2,27436.0,0.0,23.0,0.0,,,,,left_only,False
anasac fellini goofy,tactico felliny goofy febrero 2026,Retail Display,2026,3,280256.0,0.0,93.0,0.0,,,,,left_only,False
anasac rastop,rastop,Retail Display,2026,5,322157.0,0.0,99.0,0.0,,,,,left_only,False
anasac traper,regalones de la casa,Retail Display,2025,6,85958.0,0.0,78.0,0.0,,,,,left_only,False
anasac traper,regalones de la casa,Retail Display,2025,7,43140.0,0.0,69.0,0.0,,,,,left_only,False
anasac traper,regalones de la casa,Retail Display,2025,8,56459.0,0.0,84.0,0.0,,,,,left_only,False
anasac traper,regalones de la casa,Retail Display,2025,9,5423.0,0.0,4.0,0.0,,,,,left_only,False
anasac trapper,cyber day,Retail Display,2025,6,206597.0,0.0,502.0,0.0,,,,,left_only,False
anasac zecto,repelente insectos,Retail Display,2025,2,222018.0,0.0,123.0,0.0,,,,,left_only,False
anasac zecto,repelente insectos,Retail Display,2025,3,14178.0,0.0,15.0,0.0,,,,,left_only,False
anasac zecto,repelentes,Google,2025,12,30333.0,0.0,1070.0,88970.0,,,,,left_only,False
angelgres,aon marzo 2026,Sponsored Products,2026,3,17082.0,0.0,395.0,335267.0,,,,,left_only,False
angelgres,tactico febrero 2026,Sponsored Products,2026,2,27999.0,0.0,510.0,418514.0,,,,,left_only,False
aquaplast,fysdombdr,CRM,2024,12,0.0,102128.0,295.0,38980.0,,,,,left_only,False
aquaplast,mjd1j61en,CRM,2025,1,0.0,102106.0,488.0,207900.0,,,,,left_only,False
ar shelving,bts febrero 2026,Sponsored Products,2026,2,3440.0,0.0,16.0,0.0,,,,,left_only,False
ar shelving,bts marzo 2026,Sponsored Products,2026,3,3958.0,0.0,45.0,59990.0,,,,,left_only,False
arielle pisoforte,kj bzyql8,CRM,2025,3,0.0,1.0,0.0,139662.0,,,,,left_only,False
armor all,4omb9tcwd,CRM,2024,8,0.0,5246.0,0.0,16970.0,,,,,left_only,False
armor all,b9td76ydp,CRM,2025,2,0.0,22.0,2.0,108360.0,,,,,left_only,False
armor all,jikcdv03v,CRM,2025,2,0.0,101994.0,619.0,67450.0,,,,,left_only,False
armor all,n4r0tjrky,CRM,2024,8,0.0,46656.0,192.0,51248.0,,,,,left_only,False
atlantic,6189516 009925,CRM,2023,6,0.0,101085.0,114.0,349980.0,,,,,left_only,False
atom,qnlqbnhgx,CRM,2024,2,0.0,101711.0,440.0,184840.0,,,,,left_only,False
aura,aon marzo ninja 2026,Sponsored Products,2026,3,11922.0,0.0,248.0,24990.0,,,,,left_only,False
aura,aon ninja,Sponsored Products,2026,4,6302.0,0.0,86.0,0.0,,,,,left_only,False
aura,black week,Sponsored Products,2026,3,2245.0,0.0,23.0,0.0,,,,,left_only,False
aura,electroweek marzo 2026,Sponsored Products,2026,2,3128.0,0.0,31.0,0.0,,,,,left_only,False
austone,black friday,Retail Display,2025,11,69189.0,0.0,271.0,0.0,,,,,left_only,False
austone,black friday,Retail Display,2025,12,52686.0,0.0,99.0,0.0,,,,,left_only,False
austone,hfdvt5ysu,CRM,2024,9,0.0,51550.0,2297.0,4989357.0,,,,,left_only,False
austone,kotyhrpfo,CRM,2025,9,0.0,17.0,0.0,1422090.0,,,,,left_only,False
austone,m41p1yhxn,CRM,2025,9,0.0,33.0,2.0,2834434.0,,,,,left_only,False
austone,rbieiruh,CRM,2024,12,0.0,53962.0,1729.0,2106087.0,,,,,left_only,False
austone,xa jpvlmh,CRM,2025,1,0.0,35.0,1.0,3861704.0,,,,,left_only,False
austone,zdk5mo bj,CRM,2024,1,0.0,40753.0,3908.0,3237240.0,,,,,left_only,False
autoplanet austone,cyber monday,Retail Display,2025,10,127866.0,0.0,523.0,0.0,,,,,left_only,False
autoplanet austone kumho hankook autostyle,sobre ruedas 2026,Retail Display,2026,1,299070.0,0.0,517.0,0.0,,,,,left_only,False
autostyle,0liw1rkjw,CRM,2025,1,0.0,2484.0,10.0,33752598.0,,,,,left_only,False
autostyle,6189516 007925,CRM,2023,1,0.0,101377.0,463.0,18435299.0,,,,,left_only,False
autostyle,jikcdv03v,CRM,2025,2,0.0,1679.0,11.0,20912345.0,,,,,left_only,False
